"","...1","post_id","post_created","post_text","user_id","followers","friends","favourites","statuses","retweets","label"
"34",33,635883090565533696,"Mon Aug 24 18:35:17 +0000 2015","the weather outside is frightfulbut our makes are so delightful heres a sneak peak of october issues projects",1013187241,84,211,251,837,4,1
"35",34,635879517026938880,"Mon Aug 24 18:21:05 +0000 2015","thats good news at least",1013187241,84,211,251,837,0,1
"36",35,635879398315556864,"Mon Aug 24 18:20:37 +0000 2015","had a headache so took a nap for three hours woke up a bit confused as to time and day",1013187241,84,211,251,837,0,1
"37",36,635829485284261888,"Mon Aug 24 15:02:17 +0000 2015","on a budget we have recipes for or less a head and they dont compromise on flavour",1013187241,84,211,251,837,16,1
"38",37,635827655456198656,"Mon Aug 24 14:55:00 +0000 2015","please for us old dog owner getting very distraught over his lost dog http",1013187241,84,211,251,837,238,1
"39",38,635823998379655168,"Mon Aug 24 14:40:28 +0000 2015","flying displays by vintage jets significantly restricted until further notice by caa limited to fly pasts",1013187241,84,211,251,837,1,1
"40",39,635718588171702272,"Mon Aug 24 07:41:37 +0000 2015","happy monday crafters if you need a bit of a pickmeup to get you started check this out",1013187241,84,211,251,837,4,1
"41",40,635717273462902784,"Mon Aug 24 07:36:23 +0000 2015","they dont sleep like this now catsoftwitter",1013187241,84,211,251,837,0,1
"42",41,635711239046475776,"Mon Aug 24 07:12:24 +0000 2015","truly so awful",1013187241,84,211,251,837,0,1
"43",42,635710739081261056,"Mon Aug 24 07:10:25 +0000 2015","i dont understand this what does it achievepalmyras baalshamin temple blown up by is",1013187241,84,211,251,837,0,1
"44",43,635698503784730624,"Mon Aug 24 06:21:48 +0000 2015","cigarettes made out of green tea leaves claim to help you quit smoking",1013187241,84,211,251,837,34,1
"45",44,635569269787500544,"Sun Aug 23 21:48:16 +0000 2015","not having to get up in the morning for two whole weeks bliss",1013187241,84,211,251,837,0,1
"46",45,635543618380562432,"Sun Aug 23 20:06:21 +0000 2015","i feel like an invisible hand is trying to remove both my eyeballs with a spoon",1013187241,84,211,251,837,0,1
"47",46,635542289629192192,"Sun Aug 23 20:01:04 +0000 2015","hair tapestry is the latest hair trend",1013187241,84,211,251,837,12,1
"48",47,635533454076215296,"Sun Aug 23 19:25:57 +0000 2015","it feels like shoreham coverage and alt media has now gone beyond news to ghoulish",1013187241,84,211,251,837,0,1
"49",48,635532439201415168,"Sun Aug 23 19:21:55 +0000 2015","its the mail its entirely their mo mail online is barely news",1013187241,84,211,251,837,0,1
"50",49,635527712275308544,"Sun Aug 23 19:03:08 +0000 2015","its so awful",1013187241,84,211,251,837,0,1
"51",50,635526891013828608,"Sun Aug 23 18:59:52 +0000 2015","the awfulness of it continues heartbreaking",1013187241,84,211,251,837,0,1
"52",51,635489332082683904,"Sun Aug 23 16:30:38 +0000 2015","lazy afternoon snooze with my kitty cat lazysunday",1013187241,84,211,251,837,0,1
"53",52,635480709331877888,"Sun Aug 23 15:56:22 +0000 2015","the pain and heartbreak of tragedy is such a confusing emotion i feel such sadness for my south coast friends shoreham",1013187241,84,211,251,837,1,1
"54",53,635466276417204224,"Sun Aug 23 14:59:01 +0000 2015","pouring with rain in cambridge that sun didnt last long",1013187241,84,211,251,837,1,1
"55",54,635457669915086848,"Sun Aug 23 14:24:49 +0000 2015","friends of footballers pay tribute to to their teammates",1013187241,84,211,251,837,6,1
"56",55,635437561767444480,"Sun Aug 23 13:04:55 +0000 2015","ive done nothing for the last minute enough i need to stand up and do stuff lazysunday",1013187241,84,211,251,837,0,1
"57",56,635353558045597696,"Sun Aug 23 07:31:07 +0000 2015","comfy this sunday morning our cushion blog post will only make you more snug",1013187241,84,211,251,837,1,1
"58",57,635343406479339520,"Sun Aug 23 06:50:46 +0000 2015","a diversion route likely to remain in place all day after shoreham air crash",1013187241,84,211,251,837,28,1
"59",58,635341947071266816,"Sun Aug 23 06:44:58 +0000 2015","new media highlights the hypocrisy of humans tragedy is global but many choose to ignore whats not on their doorstep x",1013187241,84,211,251,837,0,1
"60",59,635187171243229184,"Sat Aug 22 20:29:57 +0000 2015","i hope the pilot pulls through theres been enough death today at shoreham",1013187241,84,211,251,837,1,1
"61",60,635128780235894784,"Sat Aug 22 16:37:55 +0000 2015","i keep seeing comments that the pilot was saved if true i find that quite incredible",1013187241,84,211,251,837,0,1
"62",61,635122065058742272,"Sat Aug 22 16:11:14 +0000 2015","urgh awful",1013187241,84,211,251,837,0,1
"63",62,635121565361938432,"Sat Aug 22 16:09:15 +0000 2015","i cant shake the image of the unsuspecting people driving along minding their own business tragically sad",1013187241,84,211,251,837,0,1
"64",63,635119579455451136,"Sat Aug 22 16:01:22 +0000 2015","this dear god horrific image awful awful awful",1013187241,84,211,251,837,0,1
"65",64,635117890262446080,"Sat Aug 22 15:54:39 +0000 2015","people confirmed dead after plane crashed into several vehicles on a during shoreham airshow",1013187241,84,211,251,837,1213,1
"66",65,635115683232227328,"Sat Aug 22 15:45:53 +0000 2015","bbc reporting fatalities so far just so awful",1013187241,84,211,251,837,0,1
"67",66,635112732132528128,"Sat Aug 22 15:34:09 +0000 2015","toaster shopping is needlessly confusing",1013187241,84,211,251,837,0,1
"68",67,635111298687221760,"Sat Aug 22 15:28:28 +0000 2015","finding it hard to find a funky decent quality toaster at a reasonable price all silver boring or cheap looking firstworldproblems",1013187241,84,211,251,837,0,1
"69",68,635109574039760896,"Sat Aug 22 15:21:36 +0000 2015","this very sad footage has been released of the shoreham air crash the content is obviously distressing",1013187241,84,211,251,837,69,1
"70",69,635097271646978048,"Sat Aug 22 14:32:43 +0000 2015","i had the same thought",1013187241,84,211,251,837,0,1
"71",70,635095852600696832,"Sat Aug 22 14:27:05 +0000 2015","what an awful awful tragedy lets hope the casualties are few",1013187241,84,211,251,837,0,1
"72",71,634994424653709312,"Sat Aug 22 07:44:03 +0000 2015","so true",1013187241,84,211,251,837,0,1
"73",72,634974010309263360,"Sat Aug 22 06:22:55 +0000 2015","sofa shopping whoop",1013187241,84,211,251,837,0,1
"74",73,634972142795403264,"Sat Aug 22 06:15:30 +0000 2015","my cat is always overjoyed to see me every morning that kind of love is priceless",1013187241,84,211,251,837,0,1
"75",74,634965102727430144,"Sat Aug 22 05:47:32 +0000 2015","beach trip",1013187241,84,211,251,837,0,1
"76",75,634960545607778304,"Sat Aug 22 05:29:25 +0000 2015","are you going to go",1013187241,84,211,251,837,0,1
"77",76,634814583899877376,"Fri Aug 21 19:49:25 +0000 2015","its dusk but warm cool",1013187241,84,211,251,837,0,1
"78",77,634799750685040640,"Fri Aug 21 18:50:29 +0000 2015","awesome motovlogs your commentary is great fun now i want a bike",1013187241,84,211,251,837,0,1
"79",78,634770016227958784,"Fri Aug 21 16:52:19 +0000 2015","dolphins spotted heading east from hove keep a look out",1013187241,84,211,251,837,2,1
"80",79,634765257475522560,"Fri Aug 21 16:33:25 +0000 2015","just finished a service centre call that didnt make me want to cry or punch something good work eon",1013187241,84,211,251,837,0,1
"81",80,634763828862021632,"Fri Aug 21 16:27:44 +0000 2015","man taken to hospital after suffering arm wrestling injury on mill road",1013187241,84,211,251,837,3,1
"82",81,634760324378443776,"Fri Aug 21 16:13:49 +0000 2015","you too",1013187241,84,211,251,837,0,1
"83",82,634759751851745280,"Fri Aug 21 16:11:32 +0000 2015","hi thx yes i found it in the end and spoke with a nice helpful young lady all sorted thx",1013187241,84,211,251,837,0,1
"84",83,634759509827829760,"Fri Aug 21 16:10:35 +0000 2015","re my last tweet dont worry spoke to v helpful young lady all sorted thx",1013187241,84,211,251,837,0,1
"85",84,634756947267448832,"Fri Aug 21 16:00:24 +0000 2015","hi im trying to find a number to phone for a new account but cant find it please can you advise thx",1013187241,84,211,251,837,0,1
"86",85,634654037888118784,"Fri Aug 21 09:11:28 +0000 2015","fragile egos and umbrage taken in a blink i need a break",1013187241,84,211,251,837,0,1
"87",86,634643282493067264,"Fri Aug 21 08:28:44 +0000 2015","our dogs are desperate for treatsben and his friends would be so grateful for any donations",1013187241,84,211,251,837,44,1
"88",87,634640362334781440,"Fri Aug 21 08:17:08 +0000 2015","two weeks off i cant fing wait i need to get away from work now",1013187241,84,211,251,837,0,1
"89",88,634628898693742592,"Fri Aug 21 07:31:34 +0000 2015","things you didnt know you could do with malteasers and they are all epic",1013187241,84,211,251,837,6,1
"90",89,634628697161625600,"Fri Aug 21 07:30:46 +0000 2015","feeling a strange mix of excited and sad such a big change looming very liberating in so many ways but lifeischanging",1013187241,84,211,251,837,0,1
"91",90,634628135196209152,"Fri Aug 21 07:28:32 +0000 2015","this is the last time im going to take this bus to work feels weird",1013187241,84,211,251,837,0,1
"92",91,634617497195540480,"Fri Aug 21 06:46:16 +0000 2015","i need to care less but dont want to have a hard hea",1013187241,84,211,251,837,0,1
"93",92,634617327930241024,"Fri Aug 21 06:45:36 +0000 2015","i dont know why i allow myself to feel such disappointment in someone even after all this time",1013187241,84,211,251,837,0,1
"94",93,634597667482542080,"Fri Aug 21 05:27:28 +0000 2015","last day in the office for weeks whoop",1013187241,84,211,251,837,0,1
"95",94,634408642910027776,"Thu Aug 20 16:56:21 +0000 2015","horrible muggy weather cambridge weather",1013187241,84,211,251,837,0,1
"96",95,634407239848194048,"Thu Aug 20 16:50:47 +0000 2015","not however going to miss living on a road where people drive like lunatics",1013187241,84,211,251,837,0,1
"97",96,634403594733776896,"Thu Aug 20 16:36:18 +0000 2015","walking home occurs to me that walking home wont be possible soon i will miss that",1013187241,84,211,251,837,0,1
"98",97,634349032744349696,"Thu Aug 20 12:59:29 +0000 2015","wondering if this will turn out to be raymond",1013187241,84,211,251,837,0,1
"99",98,634321096213458944,"Thu Aug 20 11:08:29 +0000 2015","ive decided that my life needs a pink cuddler chairbed",1013187241,84,211,251,837,0,1
"100",99,634304619385081856,"Thu Aug 20 10:03:00 +0000 2015","i love this story",1013187241,84,211,251,837,0,1
"101",100,634268862238826496,"Thu Aug 20 07:40:55 +0000 2015","good luck to all the kids getting their gcse results today resultsday",1013187241,84,211,251,837,0,1
"102",101,634259276270338048,"Thu Aug 20 07:02:50 +0000 2015","no people no traffic where is everyone quietcambridge",1013187241,84,211,251,837,0,1
"103",102,634251264033955840,"Thu Aug 20 06:30:59 +0000 2015","can faffing be considered a hobby im very good at that",1013187241,84,211,251,837,0,1
"104",103,634245970147057664,"Thu Aug 20 06:09:57 +0000 2015","this absolutely this",1013187241,84,211,251,837,0,1
"105",104,634244897139240960,"Thu Aug 20 06:05:41 +0000 2015","all i can think about right now is sofa shopping excited lol",1013187241,84,211,251,837,0,1
"106",105,634230985228427264,"Thu Aug 20 05:10:24 +0000 2015","i suppose i should get up",1013187241,84,211,251,837,0,1
"107",106,634133567627509760,"Wed Aug 19 22:43:18 +0000 2015","need to sleep but its been an exciting day and im still buzzed",1013187241,84,211,251,837,0,1
"108",107,634132850007257088,"Wed Aug 19 22:40:27 +0000 2015","mini hog earlier this evening one of two that have moved in",1013187241,84,211,251,837,0,1
"109",108,633526666464243712,"Tue Aug 18 06:31:42 +0000 2015","the best times to post on facebook instagram twitter",1013187241,84,211,251,837,24,1
"110",109,633523125435637760,"Tue Aug 18 06:17:38 +0000 2015","another milestone day insurance in place final viewing tonight deposit prepared exchange imminent",1013187241,84,211,251,837,0,1
"111",110,633522478434910208,"Tue Aug 18 06:15:03 +0000 2015","this is so me",1013187241,84,211,251,837,0,1
"112",111,633519761285120000,"Tue Aug 18 06:04:15 +0000 2015","i miss you every single day i dont think you know that still its true",1013187241,84,211,251,837,0,1
"113",112,633414312011407360,"Mon Aug 17 23:05:14 +0000 2015","theres either an eyelash or an elephant in my eye either way the net result is the same pain",1013187241,84,211,251,837,0,1
"114",113,633372452375121920,"Mon Aug 17 20:18:54 +0000 2015","elephant fact of the day an elephant herd is considered one of the most closely knit societies of any animal http",1013187241,84,211,251,837,79,1
"115",114,633332976764514304,"Mon Aug 17 17:42:03 +0000 2015","my beautiful spopie adopted from chat in loving the last week blackcatappreciationday",1013187241,84,211,251,837,3,1
"116",115,633311371204132864,"Mon Aug 17 16:16:11 +0000 2015","do you still use this account",1013187241,84,211,251,837,0,1
"117",116,633310349735948288,"Mon Aug 17 16:12:08 +0000 2015","what a beauty",1013187241,84,211,251,837,0,1
"118",117,633303580217344000,"Mon Aug 17 15:45:14 +0000 2015","interesting reading bbc news better diagnosis call for adults with adhd",1013187241,84,211,251,837,0,1
"119",118,633243511027027968,"Mon Aug 17 11:46:32 +0000 2015","this is my girl spopie blackcatappreciationday",1013187241,84,211,251,837,4,1
"120",119,633237525117693952,"Mon Aug 17 11:22:45 +0000 2015","cementing my status as that crocheting weirdo in the staff cafe",1013187241,84,211,251,837,0,1
"121",120,633235386769276928,"Mon Aug 17 11:14:15 +0000 2015","hear hear",1013187241,84,211,251,837,0,1
"122",121,633235276203171840,"Mon Aug 17 11:13:49 +0000 2015","never thought id say this but im glad for the distraction of work something to keep me productive and organised",1013187241,84,211,251,837,0,1
"123",122,633213464027267072,"Mon Aug 17 09:47:09 +0000 2015","it feels autumnal out all of a sudden",1013187241,84,211,251,837,0,1
"124",123,633182008970227712,"Mon Aug 17 07:42:09 +0000 2015","made jess a cake",1013187241,84,211,251,837,0,1
"125",124,633170396888608768,"Mon Aug 17 06:56:01 +0000 2015","community rallies behind former soldier who was seen begging at the beehive centre",1013187241,84,211,251,837,4,1
"126",125,633170263396511744,"Mon Aug 17 06:55:29 +0000 2015","ago a puppy was abandoned in ireland took him to london i adopted him today he swims in california",1013187241,84,211,251,837,47,1
"127",126,633169388452085760,"Mon Aug 17 06:52:00 +0000 2015","i miss you every single day some days it feels like being gutpunched",1013187241,84,211,251,837,0,1
"128",127,632926198348283904,"Sun Aug 16 14:45:39 +0000 2015","house smells of cake",1013187241,84,211,251,837,0,1
"129",128,632870146709803008,"Sun Aug 16 11:02:55 +0000 2015","cotton granny square pink and grey crochet grannysquare",1013187241,84,211,251,837,0,1
"130",129,632843537038614528,"Sun Aug 16 09:17:11 +0000 2015","ive had my little car a year today happy birthday little car still going strong",1013187241,84,211,251,837,0,1
"131",130,632646475768549376,"Sat Aug 15 20:14:08 +0000 2015","a bad week calls for comfortfood",1013187241,84,211,251,837,0,1
"132",131,632552107791515648,"Sat Aug 15 13:59:09 +0000 2015","i ely ely cambridgeshire",1013187241,84,211,251,837,0,1
"133",132,632486874595074048,"Sat Aug 15 09:39:56 +0000 2015","gorgeous day for a drive to ely ely catherdral",1013187241,84,211,251,837,0,1
"134",133,632264806389706752,"Fri Aug 14 18:57:31 +0000 2015","i thought you said i could have him",1013187241,84,211,251,837,0,1
"135",134,631811145410723840,"Thu Aug 13 12:54:50 +0000 2015","it looks awful down there i hope youre okay xx",1013187241,84,211,251,837,0,1
"136",135,631810620288053248,"Thu Aug 13 12:52:45 +0000 2015","in pictures severe weather hits sussex",1013187241,84,211,251,837,10,1
"137",136,631589569172013056,"Wed Aug 12 22:14:22 +0000 2015","block another traditional grannysquare crochet crochetblanket afghan",1013187241,84,211,251,837,0,1
"138",137,631569225379876864,"Wed Aug 12 20:53:31 +0000 2015","hog time hedgehog",1013187241,84,211,251,837,0,1
"139",138,631539401554837504,"Wed Aug 12 18:55:01 +0000 2015","this",1013187241,84,211,251,837,0,1
"140",139,631535225701593088,"Wed Aug 12 18:38:25 +0000 2015","this i know dont crochet when tipsy angry or sad too many extremes and crochet dont mix for me",1013187241,84,211,251,837,0,1
"141",140,631533943439917056,"Wed Aug 12 18:33:20 +0000 2015","feeling emotionally drained time for an easy stress free evening crochet and the penguins of madagascar",1013187241,84,211,251,837,0,1
"142",141,631531032924303360,"Wed Aug 12 18:21:46 +0000 2015","read this wonderful blog about elephant conservation in zimbabwe",1013187241,84,211,251,837,469,1
"143",142,631531032924303360,"Wed Aug 12 18:21:46 +0000 2015","read this wonderful blog about elephant conservation in zimbabwe",1013187241,84,211,251,837,469,1
"144",143,631531015446622208,"Wed Aug 12 18:21:42 +0000 2015","astroluca arriving in queensland were welcomed by a riveting colorful nature australia http",1013187241,84,211,251,837,62,1
"145",144,631518690807271424,"Wed Aug 12 17:32:43 +0000 2015","aboard the aquatic combines harvesting weeds in cambs waterways",1013187241,84,211,251,837,9,1
"146",145,631237613937127424,"Tue Aug 11 22:55:49 +0000 2015","this yep",1013187241,84,211,251,837,0,1
"147",146,631234172477153280,"Tue Aug 11 22:42:09 +0000 2015","big hoggle out for his supper tonight hes a magical little beastie",1013187241,84,211,251,837,0,1
"148",147,631200592669577216,"Tue Aug 11 20:28:43 +0000 2015","marley zena on dogrescuers looking fab after rescue from owner who let them to almost starve owning a dog is a priv",1013187241,84,211,251,837,18,1
"149",148,631199941059325952,"Tue Aug 11 20:26:07 +0000 2015","indeed",1013187241,84,211,251,837,842,1
"150",149,631188164896509952,"Tue Aug 11 19:39:20 +0000 2015","such a magical sky tonight it changes in seconds nofilter",1013187241,84,211,251,837,0,1
"151",150,631185760977334272,"Tue Aug 11 19:29:46 +0000 2015","beautiful sky tonight nofilter",1013187241,84,211,251,837,0,1
"152",151,631181394182565888,"Tue Aug 11 19:12:25 +0000 2015","a rare tuesday treat for dinner comfortfood",1013187241,84,211,251,837,0,1
"153",152,631161724230610944,"Tue Aug 11 17:54:16 +0000 2015","bought today cant decide if this is super organised or waaay too early",1013187241,84,211,251,837,0,1
"154",153,631160423799238656,"Tue Aug 11 17:49:06 +0000 2015","sorry to hear this lily pets are family and its heartbreaking when they die dixie had a lovely life with you x",1013187241,84,211,251,837,0,1
"155",154,631127184707612672,"Tue Aug 11 15:37:01 +0000 2015","must remember this",1013187241,84,211,251,837,0,1
"156",155,630638584039624704,"Mon Aug 10 07:15:29 +0000 2015","gorilla has amazing reaction when reunited with man that took care of him for years",1013187241,84,211,251,837,0,1
"157",156,630512758497394688,"Sun Aug 09 22:55:30 +0000 2015","test your eyes by playing this fastpaced colormatching game",1013187241,84,211,251,837,23,1
"158",157,630512726285156352,"Sun Aug 09 22:55:22 +0000 2015","i scored points at kolor a game where you have to guess colors to score high",1013187241,84,211,251,837,0,1
"159",158,630511794956693504,"Sun Aug 09 22:51:40 +0000 2015","awake mind racing need to sleep dammit insomnia",1013187241,84,211,251,837,0,1
"160",159,6.305074175e+17,"Sun Aug 09 22:34:17 +0000 2015","square done crochet crochetblanket",1013187241,84,211,251,837,0,1
"161",160,630507027375214592,"Sun Aug 09 22:32:44 +0000 2015","glad to see that you survived the brutality of the desestay strong be safe",1013187241,84,211,251,837,0,1
"162",161,630448611252404224,"Sun Aug 09 18:40:36 +0000 2015","ive just remembered that the new house has range cooker whoop looking forward to road testing it",1013187241,84,211,251,837,0,1
"163",162,630387865445343232,"Sun Aug 09 14:39:13 +0000 2015","square lacy crochet pale blue dk yarn crocheting crochetblanket",1013187241,84,211,251,837,0,1
"164",163,630368131723231232,"Sun Aug 09 13:20:48 +0000 2015","squares made crochet crocheting",1013187241,84,211,251,837,1,1
"165",164,630325533990064128,"Sun Aug 09 10:31:32 +0000 2015","have you had a look around milton country park weve found some of its prettiest spots",1013187241,84,211,251,837,11,1
"166",165,630325417497505792,"Sun Aug 09 10:31:05 +0000 2015","happy sunday borntosew",1013187241,84,211,251,837,2,1
"167",166,630320799640068096,"Sun Aug 09 10:12:44 +0000 2015","deckchair in the sun whats not to love catsoftwitter",1013187241,84,211,251,837,0,1
"168",167,630128421033648128,"Sat Aug 08 21:28:17 +0000 2015","watching pitch perfect pat benatar we belong",1013187241,84,211,251,837,0,1
"169",168,630125190861717504,"Sat Aug 08 21:15:27 +0000 2015","natalie imbruglia where is she now",1013187241,84,211,251,837,0,1
"170",169,630121186882662400,"Sat Aug 08 20:59:32 +0000 2015","two hoggles out for dinner so far tonight hedgehog",1013187241,84,211,251,837,0,1
"171",170,630000268273393664,"Sat Aug 08 12:59:03 +0000 2015","brighton student chosen to exhibit alongside hogarth and reynolds at national portrait gallery",1013187241,84,211,251,837,9,1
"172",171,629999965885067264,"Sat Aug 08 12:57:51 +0000 2015","beautiful kitty",1013187241,84,211,251,837,0,1
"173",172,629999439319576576,"Sat Aug 08 12:55:45 +0000 2015","what a lovely kitchen",1013187241,84,211,251,837,0,1
"174",173,629989028083974144,"Sat Aug 08 12:14:23 +0000 2015","fun things to do in cambridgeshire in september",1013187241,84,211,251,837,0,1
"175",174,629987192601976832,"Sat Aug 08 12:07:05 +0000 2015","can you see me worldcatday",1013187241,84,211,251,837,0,1
"176",175,629986994429538304,"Sat Aug 08 12:06:18 +0000 2015","these pups cant be cuddled due to a horrible skin infection provide the tlc",1013187241,84,211,251,837,47,1
"177",176,629985832607330304,"Sat Aug 08 12:01:41 +0000 2015","its not your chair its all mine worldcatday",1013187241,84,211,251,837,0,1
"178",177,629981462654263296,"Sat Aug 08 11:44:19 +0000 2015","the cambridgeshire cook book is out now",1013187241,84,211,251,837,3,1
"179",178,629981298191400960,"Sat Aug 08 11:43:40 +0000 2015","most alevel predicted grades are wrong cambridge assessment finds",1013187241,84,211,251,837,0,1
"180",179,629976648239198208,"Sat Aug 08 11:25:11 +0000 2015","i might have completed on the house by this time next week whoop",1013187241,84,211,251,837,0,1
"181",180,629973680576196608,"Sat Aug 08 11:13:24 +0000 2015","just watched you steve get your tats looked painless i want now",1013187241,84,211,251,837,0,1
"182",181,629968056496824320,"Sat Aug 08 10:51:03 +0000 2015","keeping me company while i work worldcatday",1013187241,84,211,251,837,0,1
"183",182,629962999806210048,"Sat Aug 08 10:30:57 +0000 2015","what a happy little dog rose plays with a balloon",1013187241,84,211,251,837,0,1
"184",183,629756097314861056,"Fri Aug 07 20:48:48 +0000 2015","snuffly hedgehogs out for dinner this evening",1013187241,84,211,251,837,0,1
"185",184,629630906219790336,"Fri Aug 07 12:31:20 +0000 2015","poor babies",1013187241,84,211,251,837,0,1
"186",185,629625100493529088,"Fri Aug 07 12:08:16 +0000 2015","oh no what is wrong with people",1013187241,84,211,251,837,0,1
"187",186,629621238638473216,"Fri Aug 07 11:52:55 +0000 2015","the estate agent is officially pissing me off now",1013187241,84,211,251,837,0,1
"188",187,629620918831185920,"Fri Aug 07 11:51:39 +0000 2015","woman assaulted as she walked home in peterborough appeal by",1013187241,84,211,251,837,2,1
"189",188,629618946363293696,"Fri Aug 07 11:43:49 +0000 2015","why big game animals are worth more alive than dead",1013187241,84,211,251,837,459,1
"190",189,629557481073680384,"Fri Aug 07 07:39:34 +0000 2015","a mention in the times fastest growing farm attraction how lovely yay for the donkeys",1013187241,84,211,251,837,0,1
"191",190,629548256989683712,"Fri Aug 07 07:02:55 +0000 2015","are the schools now out theres no traffic this morning feels really odd",1013187241,84,211,251,837,0,1
"192",191,629435195414941696,"Thu Aug 06 23:33:39 +0000 2015","square complete trebles and bobbles crochet",1013187241,84,211,251,837,0,1
